Mesorregião,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
Campo das Vertentes,6,7,8,4,8,5,10,13,5,5,10,25,106
Central Mineira,9,20,12,14,15,21,17,30,13,21,18,24,214
Jequitinhonha,9,11,8,18,16,9,11,16,10,8,14,12,142
Metropolitana de Belo Horizonte,264,255,295,223,247,226,279,334,351,214,384,425,3497
Noroeste de Minas,5,14,9,12,13,8,6,13,10,4,9,12,115
Norte de Minas,13,6,7,11,12,13,16,25,11,16,27,23,180
Oeste de Minas,20,26,24,26,22,29,45,36,25,66,38,36,393
Sul / Sudoeste de Minas,66,102,105,98,150,137,136,138,100,62,122,147,1363
Triângulo Mineiro / Alto Paranaíba,62,72,65,65,76,64,69,74,65,49,89,99,849
Vale do Mucuri,4,7,9,6,6,7,37,24,4,3,13,16,136
Vale do Rio Doce,76,55,82,46,63,61,56,62,93,39,81,58,772
Zona da Mata,104,72,97,69,84,99,146,121,277,99,127,157,1452
Total,638,647,721,592,712,679,828,886,964,586,932,1034,9219
